text,label
I feel sorry for niggas with ugly baby mamas.,1
@user I would ram my cock so far up the arse of the girl in green she would squeal like a pig and then lick me clean with tears running down her face,0
I wanna see everybody win but niggas ain't reciprocating that energy...fuck it,7
>A black man throws a 5 year old off a 3 story mall balcony >Doesn't trend >The media claims the boy plunged >Man gets 19 years The boy will be permanently damaged the rest of his life as this animal will roam free in probably 10 years. At least black unemployment is low 🙄,1
"""THEY DONT JUST DEMONITIZE QUEER CONTENT YOU IDIOT"" I know they don't. I didn't say they do. But can I talk about queer content for now?",7
If I see a man hit a woman I'd get an assault charge on that dude word too,7
"I'll get my revenge when I fuck on your nigga , I'll take that shit back , I won't fuck on your nigga , I'll fuck on his face, right in your place.",1
Demons don't go after Ugly girls because they think they're being possessed already.🤣🤣🤣🤣,0
@user exactly bro ion get why all these virgins complain bout girls posting selfies on the timeline like they gotta be gay or sum 💀,7
"@espiers Stop playing a victims. You're embarrassing women like myself. We are not victims and if you were good enough at what you do, you wouldn't be either!",7
This is how I too feel about #LGBTQ #Pride It's also how I'm starting to feel about Elizabeth Warren 🎉 {URL},7
Only if she pregnant for a rich nigga {URL},7
"religion has harmed women, gay ppl, trans ppl and christians used to use the bible to justify slavery and they use it to justify so many other things. so instead of telling me to respect ur religious views tell ur religious peers to respect other ppls lives",7
"""there probably just weren't any qualified women for the job"" {URL}",7
Wow lmao niggas really ain't shit 😹💀 {URL},7
I personally hunted for a females madressa to attend in Dbn part-time whilst studying my degree so I could learn more about Islam. Did I find any that were suitable? No. Why? Because madressas exclude us. An Apa told me that my education is kuffaar knowledge. {URL},7
9) uhhhh i like being lgbt a lot. i feel proud of what i have done to help others in my community,7
Fuck. This. Bitch. And if you follow/support her then fuck you too. {URL},0
"Dudes are stupid as fuck, my girl will literally write out a whole ass tweet about me they they still wanna b like ""we should hang out some time"" lmfao okay cool where we meeting? Cause you know ima whoop that ass {URL}",0
@JoaquinCastrotx Fucking beaner.,1
Keep this particular nigger locked up forever. @KamalaHarris,1
"I remember when you could say Fag or faggot and never did the public ever take it as ""I hate Gay dudes""",7
Hey no matter the religion this type of behaviour isnt ok and shouldn't be tolerated 🤷 {URL},7
"@KTSMtv Fuck them, they are nor wanted in our country! Go back to the shithole you came from!",4
"Dominique ""Nique"" Miller isn't your average girl; this melanin goddess is internationally ranked among the top 10 female competitive stand-up paddle surfers around the world. {URL}",7
The rise of Narendra Modi in India and Imran Khan in Pakistan may be a new variation on Western understanding of populism. {URL},7
"If you're wondering why immigrants are still able to get jobs without papers, it's because it's about WORK ETHIC AND DEDICATION. Don't piss on immigrants for ""stealing your jobs."" Maybe you should work harder? 🤷🏻‍♀️",7
@user Because theyre stupid fucking trailer trash. And they give white people like me a bad name,1
@user Lmao how you kno I'm half mexican?,7
choke on my dick bitch,0
"Fuck up, your a THOT to dumb bitch.",0
Brain dead retard!,5
"@JoelOsteen If we want to grow in spiritual matters, choose people who love God and are committed to living right according to His Word. What is meant here is about the people we choose to be closest to or our best friends ...",7
@user Ahh I see you are a woman of culture as well,7
"#WakeUpAmerica We must take care of ourselves first, so that we are healthy enough to take care of others. Just like a parent puts on their oxygen mask on a plane before they put one on their child. #AmericaFirst Swedish Municipality That Took Too Many Migrants Faces Bankruptcy {URL}",7
A Muslim is a brother of a Muslim.,7
No they aren't. Let's stop forcing this POC narrative like our histories and present lives are the same.,7
it truly amazes me how bitches don't work for shit and expect everything😂 opening you're legs will only get you so far b,0
#SpiritualSundayAtDSS Inspired by the teachings of Saint Dr. Gurmeet Ram Rahim Singh Ji Insa a Dera Sacha Sauda volunteer from Italy flew down to India and donated his Blood thus helping save a life.. @Gurmeetramrahim @user {URL},7
"I said it yesterday, I knew this is about to go down. Mangalore: Police now booked those Hindus who caught Ansari in the act of rap!ng that poor calf under sections 506, 504 (intentional insult with intent to provoke breach of peace), 323 & 153A. Judiciary is the most corrupt. {URL}",7
"Ok, if you see this tweet, we're now a gay couple",7
"@user @user @user @majorgauravarya Some slaps don't create noise. Just create one of the fastest progressive asian nation, and second best and ""worthy"" asian cricket team. {URL}",7
"Gents🇿🇦 let's return the favor and date other African girls too AboMbali bye👍, see what awaits us we fixing the country🇿🇦. {URL}",7
@user @msdhoni Dhoni what a man.. This is show that he is a legend of Indian cricket,7
@ashoswai @AnsarAAbbasi He @narendramodi is a terrorist with ful strength against innocent.. He is real ISIS.. @UN must take action against india,7
#SaveLivesInKashmir #kashmirBleedsUNSleeps An apple fell down and newton discoverd the law of gravity.... Hundreds of Muslims were killed and being killed in kashmir but no one discovered the law of humanity.... @PTIofficial {URL},7
THE ISLAMIST COMMUNIST BABY KILLERS SHOULD HAVE GONE AHEAD WITH IT JUST TO BE DEFEATED AND BECOME THE JOKE OF THE COUNTRY AND THE WORLD MORE THAN THEY ALREADY ARE... {URL},3
If I saw this bitch in public I'd slam her on the ground and spit in her face too,0
"BIG BLACK COCK IS SEX. PERIOD. white people have to recognize their inferiority and accept that black cock is the pathway towards a more free, just world. we will breed white people out of existence peacefully w/ mandatory education for #blackbreeding for all white people! #BBC {URL}",1
"I'm gay and I am taking over. People do want to remove our guns, even the gay ones. Everything is completely PC to the point of killing comedy. There are people calling to remove white people and to make white people extinct. Women have always had opinions.",7
@user @Imamofpeace White supremacists should adopt them. Then everyone else will have to stop wearing them.,7
"@user @user @ABC A 16-year old rape victim, acting against her abusers, then treated as a hardened criminal, how is that justice? There is room in the law for compassion in cases like this, but it is very rarely given to POC.",7
"Jesus was political, pastor says, as he writes signs outside his church condemning white supremacy. {URL}",7
"@user A lot of bad things happening in the US. A president putting people in cages, saying we should ""send back"" people of different color, much...",7
"@UNHCR_Arabic The only things,that legal Iraqi refugees are looking for,are:Living in peace,safe,stability&settling situation. Rescue Iraqi refugees from long waiting in the host countries. Rescue Iraqi refugees from delaying their files&help them to process their files #StandWithIraqiRefugees",7
@TarekFatah This a is happening because of the cowardly Hindus .. spineless idiots who will let these b@stards spew hate on us in a Hindu majority country! All thanks to MKG.. he made generations and generations impotent and cowardly!,3
"@user @user @user No one is killing children buckey. If that visual is too hard for you, the just troll off. Majority of abortions are performed 8- 10 weeks by medication if access not an issue. Abortions after 18 weeks are done for medical reasons.",7
"@user More like...""if you want to turn America into the shithole you came from, get the fuck out.""",4
The world has become so sick that people take offence from the simple assertion that men & women are different. If u are a man & find that offensive then I suggest u go & get pregnant. If u are a woman then please go & impregnate a man. We won't accept normalization of stupidity.,7
"Stop drawing 'robbers/thugs' with dreadlocks, man y'all trash for this! Picture circulated of kids arrested nearly all or all had no locs!! {URL}",7
@user worst thing about conservative women: wide vagina,0
"Somebody said niggas always tryna ""you ain't even fat"" they way into some pussy 😂",7
@JeffreeStar Growing up In a latino family me as man is wrong for you too be gay and the only thing that helps me through it is your videos,7
"Thread 👇 ""The Holocaust did not start with the gas chambers -it started long before with hate speech"" This happening in India now, Anti Muslim & Genocidal songs are played openly. Lyrics of this song ""If the temple isn't built, we will wreck havoc"" 1/n {URL}",7
"why do I have to, you're the older one :(",7
"Cuban women, that's it that's the tweet",7
Appreciate Allah's love and mercy.,7
Eid Mubarak to all the Muslims out there. {URL},7
ugly niggas are very very bold,1
@user Time to kick ALL of them OUT of AMERICA!,4
"@user @PeteButtigieg Fucking pussies, they would only attack a girl cause a guy would throttle their bitch asses. #deportlibs",0
@user . Linda Sarsour should already be in jail for threatening the life of a President. These women need to be taken down and removed. America is not safe with these animals in our country. If the Rest of the world governments want them in free open borders let them..NOT IN AMERICA!,0
literally shaking rn!! triggered by the queers' wage gap again,7
@user @LindseyGrahamSC How many people of color and lgbt are where?,7
@user girl if you can act bold on every other social platform you can let your irls know you're trash FIGHT BACK,7
This is a deliberate attempt by @NetflixIndia to brainwash the young Hindus against Hindu revivalism. People who would lose their lives just for painting 'their' prophet are insulting Hinduism everyday. Stop Hinduphobia! #BoycottNetflix {URL},7
if a nigga got you on video ratting all them gangsta words & posts afterwards do not matter.,7
"According to these anti Ahmadi Muslims,we fabricated the Qur'an Allah has Promised to Protect His book.These opponents of Jamaat think human beings made Allah Break His Promise! Our Qur'an is the same and we have translated it into more languages than the entire ummah combined {URL}",7
It is duty of every Pakistani to defend motherland against malicious propaganda by Foreign agents/Evil Forces and raise genuine issues of common people #TeamPakistanZindabad {URL},7
"some of my fellow heterosexual dumbasses need to hear this one: ""gay pride was not born of a need to celebrate being gay, but our right to exist without persecution. so instead of wondering why there isn't a straight pride movement, be thankful you don't need one.""",7
#RT @user Fucking and sucking aunty indian Retweet follow and like {URL},7
🤔 Kindness is optional. When the parents of these children were busy making them the American taxpayer was not invited. This is a tech-time soon gated-countries and robots. People should man-up and die for were their at like Americans. World immigration is pase ✍️✍🏽,7
"@user @user @user @SaharaReporters @PoliceNG @YeleSowore @user Dumb wretched broad. I would reject a billion dollars to get a combo blowjob from you and your wretched mother. Dirty disease infested hoe. If you wan gutter language, I got you",0
I hope Srilankan government will serve justice for the attrocities commited by its regime 10 years ago..I stand with my #Tamil bros and sis on this sad sad day #May18TamilGenocide,7
Latinas are angel faces with a devil attitude,7
@user 3. Historically blacks have been getting less wages which meant that they survived from 1 salary to another. This is a big problem which attributes to the huge racial income inequalities @user but not much attention is given to it,7
"esports in june: gay rights!! pride!! look at our rainbow logo! hehe esports every other month of the year: Yeah but if you think about it they're really just words. I mean who decided that ""[slur]"" is offensive anyway? Etymologically, in the 19th century, the word was used to m",7
Trump recognising LGBT+ Pride Month went about as well as you might expect {URL},7
"Is it wrong for feeling that way , as a pro black man I can't put my expectations on the next person because their black",7
@user These niggas straight bitches,1
Beautiful men. Men who take care of themselves. Men who smell good. Tall.Dark.Handsome men. {URL},7
"""spit on me and call me a nigger"" hours",1
y'all dead ass annoying now. wanna make everything gay bc of these crybaby ass faggots .. we can't have shit 😑 {URL},2
"Everyone commenting that JR is dark.. he actually has a south east asian skin hahaha... Aron last time when they travel to SG or KL will say, JR is happy cos he is going back to his hometown... bad Aron {URL}",7
"Diana's statement is actually very empowering, women should speak up, and don't just shrug it of. Remember them saying they thought they were just overreacting that is why they just kept quiet the whole time about the issue and one girl said ""I'm too scared"" +++ #PBB8BadJoke",7
@user Fuck that hoe,0
this is what happens when you want to be a christian and the satanists fuck your life,7
Both you bitches suck smfh,0
"I am not some kind of trashy slut, unless I'm with the right man.",7
Who is Marianne Williamson & why should LGBTQ people care? {URL},7
I'm so fucking horny 😅 retweet and follow for a dm #cumonteens #exhibitionist #sexslave #havingsex #bigass #camgirl #cam #sexyslut #piss #facesitting #sexcams #camshow #boobs #squirt #sexchat #littlegirls {URL},7
"Eid Mubarak to all our Muslim friends! Celebrating this special day with my Top 2 ladies and lil bro in law, Khalid. {URL}",7
Women are trash 2.,0
I hope South Africa prospers so you all look like assholes,7
@user I bet u cross the street when u see a black person cuz u think they're a convicted murderer too,1
Disgusting behaviour by the cowards who attacked the gay girls on a bus in London. {URL} #Bullying #Discrimination #Racism #LondonStabbings #Crime #Gangs #DropYourWeapons #ItIsNotWorthIt #Homophobia,7
"Good to see the new movement #OrgasmInequality Being a gynecologist, many a times I teach my patients how this problem can be solved! India is taking a courageous leap.",7
"While Ashraf Ghani in Saudi begging Imran Khan to help him stay in power, his regime engages in terrorism. Attacking another nation sovereignty is terrorism. A Propagandist calendar with PTM image and a balkanized map of 🇵🇰 disturbed in Kabul gov offices. Never trust 🇦🇫 Nazis {URL}",7
Come and lick it up faggots #manscent #pits #muskypits #myripecock #3daystink {URL},2
"Had mucho fun talking to @jvn about his most exciting project this Pride month: his gender. Though the comedian's brand and career has hinged on the gay male archetype, ""male"" as it turns out, is not a very accurate term to describe him. ✨ Congrats, bb! {URL}",7
"This sleazy faggot's final hours in, on and at My arms. #Hierachy {URL}",2
"@user I'm pansexual, and for me it just means that I'm attracted to someone's personality and emotions no matter the sex or how they identify; whereas bisexuals usually have preference over sex/identifications. Hope this helps💕",7
"The religion of death , these beasts deserve nothing but what they spread ...#",3
Deport them all to their sacred homeland Al-Bakastan aka Pakistan. Put them in a trolley of wagons labelled 370Express to the LoC and hand them to their lords and masters. {URL},4
May Allah ease everything in order amiiin {URL},7
Wishing joyful Eid Mubarak to all celebrating Eid ul Fitr across the world. May this Eid be of tremendous blessings! #EidMubarak #عيد_الفطر_المبارك {URL},7
"@rashtrapatibhvn A tall women leader leader of our time, unparallel, poised in diction, P.M. material, great stateswoman, learned, able parliamentarian,motherly figure to her followers. Her passing away at an early age is great loss to the nation. May her soul attain peace. Ok shanti.",7
A MENTAL HEALTH DATABASE WHAT THE ACTUAL FUCK. {URL},7
It is difficult for a woman to define her feelings in language which is chiefly made by men to express theirs - #ADNILoveYou ❤️,7
@user just say you hate black people and POC to conform your racist agenda you stupid fuck,7
Help a horny girl out and retweet {URL},7
ten is disgusting. i hate gay people,2
"@user @user They're trying hard to Assyrianize Chaldeans and Syriacs, not only that, they started to Assyrianze Yezidis too. {URL}",7
@user @user @user Nigga fade cool you can't even lie,7
"Not if she really enjoy the dick. She gone ride, reverse ride, upside down ride, etc. 🤣🤣🤣",7
Great speech by @DrJitendraSingh inside the Parliament giving details of the historic measures that are being taken for peace and development in J&K to end the loot by two families of Kashmir.,7
"@user And the last word, Mr. Tramp! The people of Iran are with the people of America and the people of Israel. To make peace in the whole world, and to get rid of terrorism, destroy the mullahs' regime! The only way is war.#NoDeal4TerroristRegime",7
fuck you dumb ass ugly ass bitch,0
A Woman who dont cheat deserves everything she ask for and more 💯,7
"A collection of explanatory-statements to Board of Senior Scholars in the Kingdom of Saudi Arabia, and to all scholars of the Muslims and the Muftis of the Islamic hometowns.. {URL}",7
@user @user If they were white English kids their faces would be everywhere,7
A must read! PC culture from politicians help kill Christians says Archbishop of Irak. The problem with 'Islamophobia' smearing... Iraq's Christians 'close to extinction' {URL},7
FUCK YOU STUPID BITCHES,0
Prime Minister Modi pays tribute to #SheilaDikshit at her residence in Delhi {URL} #RIPSheilaDikshit {URL},7
Get down and stay down faggot scum fag got burried alive {URL},2
"Twitters already getting me hit this morning. Does the world really think that Israelis wake up everyday and the first thought that comes to their mind is ""let's make the Palestinian lives miserable"" absolutely not. They wake up everyday and have to realize that...",7
If na Nigeria now the police would have shot someone or use tear gas.,7
Early Christians locked the doors during Liturgy so no one would break in and kill them. Now Christians will have to lock the doors so faggots won't break in desecrate the church,2
Imagine that how come we don't see any of this on the news about the shooter being an Iranian American with Islamic ties I'm curious {URL},7
Women really should start carrying guns around. Alot of you niggas deserved to be shot by em,0
"@user What you're actually supporting is making your children and grandchildren hated minorities in their own homelands. History will view people like you as cowards and fools who threw away the future of their people and nation because they opposed ""rascism"".",7
Blessing Okoro joins other Nigerians to mock herself by re-enacting her GATE scene (Video) {URL} {URL},7
"We live in a country in which half of young trans people report having attempted suicide, and the @NSPCC has ceased working with a trans model and activist in response to an anti-trans campaign, during Pride month, whilestusing the Pride flag. Boycott them. {URL}",7
No one: Every Asian girl: {URL},7
British minister urges #Poles in UK to secure rights after #Brexit.In an interview with @JakubKrupa @user Caroline Nokes advised Poles not to leave the application till last moment {URL} {URL} {URL} @user {URL},7
Germany before Christianity. {URL},7
I don't want to see anymore bitches on my tl fucking and sucking on cucumbers 🤢,0
"Wait, let me get this straight. ""Shoot those invading brown immigrants"" doesn't promote violence but here's a list of donors does?🤨 I feel like I'm taking crazy pills. {URL}",7
"Check out over 100 new historical LGBT t-shirts added TODAY from the @user archives of Amsterdam, now LIVE on {URL} 🏳️‍🌈 #twitterstorians #queer #archives #histsex {URL}",7
Discrimination against LGBT in the workplace is exceedingly rare. No law or standard could impact the outliers. {URL},7
@MrAndyNgo @TarekFatah How long you Muslims will continue doing all the heinous crimes in the name of your Muslim religion??? When you will come to your senses? When you are going to stop terrorizing the world in the name of your Muslim religion?,3
Facts i eat ass my niggas tryna call me dirty but why not like especially if she clean plus it's apart of sex and I'm not no lil ass boy and they go crazy like 😂😂😭💯 {URL},7
"people say black people run away as they laugh,,,, alternatively, jimin runs into joon's shoulder—- {URL}",7
This bitch is so stupid she even looks stupid like you can tell it from her face that she's brain dead,0
You love being daddy's little cock slut don't you so once you are back home from school daddy is going to use you like the pathetic whore that you are making you gag on my cock before I get to use your other holes {URL},0
"Women are raped & killed every day by men. Every 98 secs an American is sexually assaulted & 3 women on average daily are killed by their partners. There is literally no epidemic of women raping and killing men, anywhere. Ponder that for a second and see who lacks self control. {URL}",7
fr diva gays are the worst types of faggots. take some phenobarbital and chill b4 i come for your whole life,2
The Indian women begin their #SOIFC2019 campaign on a high note with a 4-0 victory against Malaysia 🔥👏 #Supermachans #InclusionRevolution #SpecialOlympics {URL},7
"Today, O God, I ask you to empower your faithful servants who proclaim your Word all over the world. Please bless them with a season of freedom from satanic attack. Bless them with health, vigor, and passion.... {URL}",7
I want a hug from a black man that smells good and has big arms.. and even squeezes my back fat.,7
carrie says gay rights,7
All them insecure ass Women harassing that White lady talking to Jay z in a stadium full of thousands of people as if they could use they fucking inside voices,7
Real women don't have a mindset like this,7
Bow down to your favorite bisexual queens {URL},7
womyn are trash!,0
The real issue at the heart of these mass shootings lies with the pain the men who commit these acts are feeling. {URL},7
Imagine being homophobic and stanning Loki. I have to laugh. {URL},7
Women are nothing but psychopathic creatures put on the planet to piss men off there is no other explanation for their existence absolute head the balls,0
it's almost pride month sakura haruno is a catholic lesbian,7
@user // actually they are feminist males/females,7
*Men make up approx 95% of the UKs prison population *Men commit approx 90% of murders and 98% of sex offences in England and Wales (Fullfacts) *74 ppl currently serve whole life tariffs in the UK - 72 of these are men. STOP with your 'women are just as violent' BS,7
"Dear Allah, please give me a strength atleast once. 💪🏻",7
"@user Hey white bitch why don't you shut the fuck up, white people are the cancer of this world, all the people of this earth is gonna die because of people like you because they speak before they think. We are the destruction of the human kind.",1
I really dislike when people weaponize the Bible,7
"Bishop Tobin is simply speaking for one truth of the deposit of faith. God made humans male & female. Certainly those who are confused about their identity need Christ's love & compassion, let's remember Christ's love is expressed when dies on the cross for the truth.",7
#BuildTheWall Help stop the flow of illegal immigrants. Help fight illegal drugs Help fight human trafficking Help fight people coming over the border to cause harm Retweet if you are in favor of #BackTheBlue #ICE @user follows back all #MAGA #KAG {URL},4
Muslims should be treated like their counter parts in China...... Only way to control this epidemic of sick & diseased mentation..... @asadowaisi {URL},3
Where the real niggas at,7
For all my fellow Africans who have wasted time and money applying for UK visas for the honour of a rude rejection letter {URL},7
"With the #andertonpark school stand off, with Islam diametrically opposed to neo-Marxist deconstructionism, you just know this has been percolating for 50 years. This is an UNRECONCILABLE matter, and the pandering of @UKLabour to the Muslim vote, is now fracturing - badly!!",7
India is scared of pak successful foreign policy on kishmir #IndiaUsingClusterBombs,7
The way these black men just killing each other out here.... this not how it's supposed to be man. I swear it's not.,7
"Saudi can suck a dick tbh, fucking bastards",4
"White Jews, we really need to do a better job of following the leadership of, listening to, empathizing with, learning from, Black Jews.",7
"@greggutfeld .@GeraldoRivera - would you consider this incendiary rhetoric, Geraldo? ""Exterminating Latinos"".",1
"no joke I cannot get over this, it's one of the gayest and best things that has ever happened to me H E L P",7
"""i think you're a fucking faggot just like your daddy"" JULES!!!! #EuphoriaHBO {URL}",2
Hello African women {URL},7
On a fucking new born ... y'all hoes just getting out of hand.,0
My former boss asked me to stop sounding so gay.. Not listening to him ended up being the greatest decision of my life. The full talk is here {URL} {URL},7
"@ChrisCuomo I'm Mexican. Most Mexicans here legally, love our @user You have no clue.",7
Go fuck yourself dumb bitch,0
"The organisation that Vandniya Laxmibai Kelkar envisaged for ladies keeping in view Indian culture and social milieu, not only enhanced their natural virtues but established them as a source of limitless energy too. #LaxmiBaiKelkar {URL}",7
"Did everyone forget about 9/11 - or was Obama successful in re-writing History??? Our men and women died because this religion, attacked our Country and now they are getting rewarded?? {URL}",7
"""Suck it, suck it! You slut! Give me your fuck hole! Bend over bitch!"" Horace, the potential demonic horse, ready to breed women and sluts alike. Enter the stables at own risk. -Multi Ship -Dark kinks ahead -Very dominant, won't yield to anyone -Will plow you till you claim him {URL}",0
@user @user @user Ask allah and ur pedophile prophet. Wait nvm they'd ask u to murder me.,3
We are facing the consequences for not following the instructions of Allah {URL},7
🚨THREAD👇🏾 The shooting in El Paso was foreseeable and deliberate. Uncontrolled access to guns has enabled mass atrocities in cities and the white supremacist agenda that we see at every Trump rally/speech has motivated white nationalist terrorists across the country.,7
"@SteveScalise @user @user REALLY! WOMEN YOU SHOULD BE SCREAMING &RAISING HELL AGAINST SHIT-RIA LAW, FEMALE GENITAL MUTILATIONS & ABSOLUTELY BARBARIC BASTARDS THAT INITIATE IT. ""Bacon"" {URL} START YELLING GET THESE BITCHES THE HELL OUTTA HERE, LINDA SARSOURED, ICKY OMARED",3
"@user @user Wrong. Her headscarf is shairalaw. Right now, in Europe, the animosity of these world-haters result in absurd verbage & utensil restrictions, gangs that sodimize who/whatever they can catch & need 4 police canine units to protect healthcare employees. They need a ""Homeland"".",7
"@user Yes! I'm getting flashbacks of political arguments in high school when I was one of the only black people in class. ""Why are you attacking me? You're so aggressive."" No, Karen. I'm not aggressive. You just want to pull the sympathy card because a ""scary black girl"" punked you.",7
@user @KadariaAhmed LOL what nigerian project? there is nothing like inclusiveness it's a ruse Those people are there from themselves You have nothing to gain just like me,7
People so angry they send themselves to hell,7
@user @CHAPOTRAPHOUSE This is why women won't have srx with you. Because you're disgusting pigs who can't contain your contempt for women. Fuck all of you incel motherfuckers.,0
"@MichelleObama @BarackObama Yes, we too love the diversity in India. Now we gets forcing towards one nation, one religion, one language... Finally only one person will live in this country...",7
Dropped a hot pic on the snap now nigga wanna be my man talkin bout I should hit them up more often go nyam bawty my yute,7
"Happy Pride month! Remember to give marginalized creators the same amount of good faith, hype, and money we give to rich & secure straight white mainstream creators ✌️",7
Good girl suck mommas big dick you whore!! You like the taste of all the other sluts holes I've fucked?! Of course you do! Youre my cum loving slug aren't you?! {URL},0
These crackers uh shoot the shit out our ass 😂😂😂,1
If a female never paid for a date or bought you anything.... unfortunately you've never been w/ a female that actually likes you. 🤷🏽‍♀️,7
Philly the only city where literally every nigga looks like a pit bull,7
The protest dispersed. Then an Israeli sniper shot a 9-year-old boy in the head {URL},7
@user @user @sairasameerarao Please note that Democrats have seen to it that blacks have had about 5 times the abortion rate of whites. Think about it.,7
@Telegraph Why is it any of your concern anyway ? You guys are commenting on another countries cultures beliefs and standards ...,7
"@user If these so-called white christians had an ounce of decency, they could find the strength to put Christ back into Christian. If they did that and lived more like Christ they might stop hating immigrants, stop supporting trump and stop being white supremacists. #FakeChristians",7
"With the laws of the Holy Scriptures at your command you will be able to prosecute these White Supremacist at the full extend of God Laws. Simply repent unify, organize, armed yourself under TMH administration",7
The way people treat you on the roads when your a hijabi driver is mad 😫😫,7
Did no one teach you niggers to brush the back of your tongues???,1
